tree_positions,0.0,-0.0,0.0,-4.0,0.0,-8.0,0.0,-12.0,0.0,-16.0,4.0,-0.0,4.0,-4.0,4.0,-8.0,4.0,-12.0,4.0,-16.0,8.0,-0.0,8.0,-4.0,8.0,-8.0,8.0,-12.0,8.0,-16.0,12.0,-0.0,12.0,-4.0,12.0,-8.0,12.0,-12.0,12.0,-16.0,16.0,-0.0,16.0,-4.0,16.0,-8.0,16.0,-12.0,16.0,-16.0
time,x,y,theta,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24
0.003912448883056641,-1.3539999723434448,-7.299999713897705,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9.221649408340454,-1.3539999723434448,-7.299999713897705,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9.722518682479858,-1.3774484395980835,-7.313650608062744,-0.177450388704381,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10.2224702835083,-1.4153382778167725,-7.337007999420166,-0.23212308570357196,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10.722068071365356,-1.466060996055603,-7.369887351989746,-0.213063372570223,24.999711441752808,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11.22270655632019,-1.466060996055603,-7.369887351989746,-0.213063372570223,24.999711441752808,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11.72223424911499,-1.9524409770965576,-7.868837356567383,-0.16268964408419034,24.9988455359952,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12.222481489181519,-2.0000996589660645,-8.47936725616455,0.09446332157549653,24.8297494277867,0.5,0.5,0.738,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12.722375392913818,-2.0000996589660645,-8.47936725616455,0.09446332157549653,24.76919282901301,0.5,0.5,0.775,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13.222269535064697,-2.0000998973846436,-9.117412567138672,0.3662778690674444,24.229163096551243,0.5,0.5,0.9,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13.72221064567566,-2.0000998973846436,-9.117414474487305,0.3663044370178165,24.529360331974978,0.5,0.5,0.775,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14.222231149673462,-2.0000998973846436,-9.654350280761719,0.4840271326414756,24.229163096551243,0.5,0.5,0.9,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14.722429275512695,-2.000091791152954,-10.140724182128906,0.6017508020158259,24.229163096551243,0.5,0.5,0.9,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.222527742385864,-1.9942517280578613,-10.573570251464844,0.3662124308710779,24.229163096551243,0.5,0.5,0.9,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.722046852111816,-2.0000977516174316,-10.660099029541016,-0.026334690336620902,24.229163096551243,0.5,0.5,0.9,0.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.2225558757782,-2.000089406967163,-10.649803161621094,-0.41887928598120844,23.93799118717856,0.5,0.5,0.9,0.071,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.722323179244995,-1.998610019683838,-10.660089492797852,-0.7469816152815889,23.93770262893137,0.5,0.51,0.9,0.013,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.22220015525818,-1.998610019683838,-10.660089492797852,-0.7469816152815889,23.93770262893137,0.5,0.51,0.9,0.015,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.722389459609985,-1.7044663429260254,-10.631011962890625,-1.09110631910867,23.93770262893137,0.5,0.51,0.9,0.003,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.22213053703308,-1.7044663429260254,-10.631011962890625,-1.09110631910867,23.645407840735547,0.5,0.807,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.722368478775024,-1.187302589416504,-10.633882522583008,-1.2106773260157275,23.645407840735547,0.5,0.807,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.222700119018555,-0.48072290420532227,-10.660099029541016,-1.1461454306316627,23.383487249525665,0.5,0.937,0.9,0.002,0.5,0.5,0.5,0.5,0.5,0.59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.722063779830933,0.22615909576416016,-10.660099029541016,-1.1210314329460376,23.364319471408166,0.5,0.937,0.9,0.002,0.5,0.5,0.5,0.5,0.5,0.621,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.222045421600342,0.22615909576416016,-10.660099029541016,-1.1210314329460376,23.210243480543905,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.72241711616516,0.5259615182876587,-10.660101890563965,-1.1701001000534195,23.210243480543905,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.22212290763855,0.6719155311584473,-10.660100936889648,-1.1939232193886202,23.210243480543905,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.722354888916016,0.6450830101966858,-10.660099983215332,-1.1895152943303642,23.210243480543905,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.755,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.222134590148926,0.6450830101966858,-10.660099983215332,-1.1895152943303642,22.909911692015402,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.722287893295288,0.5477931499481201,-10.660099029541016,-1.173607961760437,22.909911692015402,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.222347736358643,0.5576169490814209,-10.660049438476562,-1.1052532821778116,22.909911692015402,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.72237777709961,0.544713020324707,-10.643072128295898,-0.7129066587714163,22.909911692015402,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.222230672836304,0.5718193054199219,-10.624015808105469,-0.5080492805796357,22.909911692015402,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.5,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.722262382507324,0.5718193054199219,-10.624015808105469,-0.5080492805796357,22.721189816474535,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.25,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25.222224473953247,0.870203971862793,-10.636688232421875,-0.620228899640938,22.721189816474535,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.25,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25.722229719161987,0.870203971862793,-10.636688232421875,-0.620228899640938,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.091,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27.768546104431152,1.4330410957336426,-10.66009521484375,-0.6511839102268056,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.1,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
29.64082431793213,1.4903277158737183,-10.626715660095215,-0.39663083784090813,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.023,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
32.658835649490356,1.987687110900879,-10.641136169433594,-0.564350583328884,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.026,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
35.25746560096741,1.976210594177246,-10.600896835327148,-0.5696207561003993,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.007,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
38.33140158653259,2.4586024284362793,-10.583288192749023,-0.7544271233022207,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.006,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
39.262615442276,2.4268596172332764,-10.513077735900879,-0.7568738253465286,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.002,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
41.66958999633789,2.898277521133423,-10.481528282165527,-0.95604631106121,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.002,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
44.672292947769165,2.853363513946533,-10.40085220336914,-0.9548034324069109,22.378907285604683,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
46.58990740776062,3.310142755508423,-10.368430137634277,-1.1669804458213484,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
47.95036554336548,3.232451915740967,-10.285188674926758,-1.1518859063380043,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
56.63949108123779,3.445728302001953,-10.505160331726074,-1.1957603300385167,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
60.786834478378296,3.230809211730957,-10.632170677185059,-1.0625513456683517,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
63.09561347961426,3.401844024658203,-10.653409957885742,-1.136143688447482,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
72.13153052330017,3.1962428092956543,-10.658039093017578,-1.042424936825734,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
76.33840703964233,3.388258457183838,-10.658838272094727,-1.1284922709497436,22.348675925881057,0.5,0.937,0.9,0.004,0.5,0.5,0.5,0.5,0.001,0.889,0.5,0.5,0.5,0.5,0.602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
